Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 206 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 206 message lines logged
        Logging Source-Interface:       VRF Name:
    TLS Profiles: 

Log Buffer (131072 bytes):

*Mar  2 07:51:10.343: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:51:15.441: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:51:15 UTC Thu Mar 2 2023
*Mar  2 07:52:24.063: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:52:24 UTC Thu Mar 2 2023
*Mar  2 07:52:24.726: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:53:11.586: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:53:11 UTC Thu Mar 2 2023
*Mar  2 07:53:13.373: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:53:25.121: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:53:25 UTC Thu Mar 2 2023
*Mar  2 07:53:25.621: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:53:58.690: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:53:58 UTC Thu Mar 2 2023
*Mar  2 07:53:59.246: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:54:05.798: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:54:05 UTC Thu Mar 2 2023
